Indicator,Last Observed,Indicator Type,Observation Yearly Count,ThreatConnect Rating,Observation Penalty Multiplier,Botnet Flag,False Positives,Partners,incidents/events,Threat Actor,Tagging Boost,Tagging Boost Reason,CAL Score,ThreatConnect Score,PRISM Score,Severity,Explanation
103.168.66.237,2026-05-31,Address,2,3,0.9998904109589041,0,0,"HRSA, NIH",,,0.0,,230,494,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Multi-source validation. Observed across 2 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
103.190.41.156,2026-05-31,Address,1,3,0.9999452054794521,0,0,DHA,,,0.0,,170,436,500,high,[2026-06-03] Severity: high. VT score: 15. Contextual Drivers: VT malicious (log-scaled); Multi-source validation; Recent first-seen activity. Observed across 1 partner(s). Observed by 2 sources. 1 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
103.215.74.185,2026-05-31,Address,3,3,0.9998356164383562,0,0,"DHA, HRSA, NIH, OS, VA",,,0.0,,740,749,500,high,[2026-06-03] Severity: high. VT score: 15. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 5 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. Scanner penalty applied. No TOR activity. No incident/event link.  Score: 500/1000.
103.215.74.213,2026-05-31,Address,3,3,0.9998356164383562,0,0,"HRSA, NIH, OS, VA",,,0.0,,900,829,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 4 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
107.189.1.9,2026-06-03,Address,7,3,0.9996164383561644,0,0,HRSA,,,0.0,,590,712,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Multi-source validation; CAL score. Observed across 1 partner(s). Observed by 2 sources. 1 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
144.91.66.169,2026-06-03,Address,5,3,0.9997260273972602,0,0,"NIH, VA",,,0.0,,210,383,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Multi-source validation. Observed across 2 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
160.119.76.49,2026-06-01,Address,2,3,0.9998904109589041,0,0,NIH,,,0.0,,270,514,500,high,[2026-06-03] Severity: high. VT score: 16. Contextual Drivers: VT malicious (log-scaled); Multi-source validation; Recent first-seen activity. Observed across 1 partner(s). Observed by 2 sources. 1 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
178.17.171.102,2026-06-02,Address,7,4,0.9996164383561644,0,0,"CDC, CMS, HHS, HRSA",,,0.0,,400,478,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Reinforcing context bonus; Partner coverage bonus. Observed across 4 partner(s). Observed by 2 sources. 2 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
185.220.101.129,2026-06-03,Address,11,4,0.9993972602739726,0,0,"CMS, HHS, HRSA",,,0.0,,390,612,500,high,[2026-06-03] Severity: high. VT score: 13. Contextual Drivers: VT malicious (log-scaled); Partner coverage bonus; CAL score. Observed across 3 partner(s). Single source observation. 1 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. No incident/event link.  Score: 500/1000.
185.220.101.131,2026-06-03,Address,8,2,0.9995616438356164,0,0,HRSA,Incident:102309,,0.0,,210,512,500,high,[2026-06-03] Severity: high. VT score: 14. Contextual Drivers: VT malicious (log-scaled); Incident/Event association; Continuity (indicator type). Observed across 1 partner(s). Single source observation. 1 reinforcing context signal(s). No PB lower-start rule. No botnet penalty. No false positive tags. No scanner penalty. No TOR activity. Linked to incident/event: Incident:102309.  Score: 500/1000.
