Indicator,PRISM Score
0F2C5C39494F15B7EE637AD5B6B5D00A3E2F407B4F27D140CD5A821FF08ACFAC,1000.0
24D004A104D4D54034DBCFFC2A4B19A11F39008A575AA614EA04703480B1022C,1000.0
5CD5B3B4C55B43C63F26BED4FAC619E7334BECB7C1B3F9C61C91772061F4DC7B,1000.0
64E3A3458B3286CAAAC821C343D4B208,1000.0
6983F7001DE10F4D19FC2D794C3EB534,1000.0
A92F13F3A1B3B39833D3CC336301B713,1000.0
DB349B97C37D22F5EA1D1841E3C89EB4,1000.0
185.220.100.244,651.0
198.98.54.209,651.0
185.220.101.79,644.0
198.96.155.3,589.0
171.25.193.25,588.0
144.76.136.153,580.0
autorun.inf,547.0
185.220.101.12,504.0
165.227.147.215,502.0
171.25.193.132,499.0
171.25.193.235,499.0
176.10.107.180,499.0
185.100.85.132,499.0
185.220.100.245,499.0
185.220.100.248,499.0
185.220.101.13,499.0
185.220.101.6,499.0
192.42.116.191,499.0
192.42.116.210,499.0
204.8.156.142,499.0
45.148.10.212,499.0
45.84.107.172,499.0
45.9.148.129,499.0
61.76.222.210,499.0
82.197.182.161,499.0
83.142.209.11,499.0
87.121.84.52,499.0
89.190.156.34,499.0
155.94.255.2,498.0
80.67.172.162,497.0
185.220.101.16,484.0
104.238.159.149,469.0
205.185.126.208,455.0
141.98.10.151,385.0
5.8.33.26,384.0
secure.internxt.com,371.0
59.148.233.250,370.0
216.238.66.251,368.0
216.238.74.95,368.0
45.120.177.8,367.0
5.181.27.219,367.0
164.82.20.53,362.0
89.34.237.101,362.0
141.98.11.57,359.0
96.9.125.147,357.0
107.191.58.76,352.0
134.199.202.205,352.0
185.197.248.131,352.0
185.213.82.30,352.0
sfrclak.com,322.0
object.fm,320.0
169.150.227.230,318.0
64.227.106.112,316.0
169.150.227.205,315.0
45.86.208.162,315.0
70.32.3.15,315.0
70.39.70.194,313.0
telegram.me,313.0
144.91.119.135,312.0
146.70.172.227,311.0
138.197.101.95,303.0
67.207.95.230,302.0
149.22.94.37,301.0
45.55.130.199,301.0
104.131.6.219,300.0
45.61.137.162,293.0
156.238.224.227,292.0
216.131.75.53,281.0
23.95.44.80,273.0
89.44.198.16,271.0
146.70.79.78,269.0
45.80.215.151,269.0
45.80.215.47,269.0
5.181.27.19,269.0
185.27.134.125,259.0
91.236.230.76,256.0
link.storjshare.io,235.0
155.138.205.35,227.0
66.235.168.222,226.0
86.105.18.111,226.0
checkmarx.zone,225.0
23.106.169.120,223.0
77.247.126.189,223.0
185.248.85.20,222.0
aw2o25forsbc.camdvr.org,222.0
165.232.153.27,221.0
80.87.206.241,221.0
185.65.134.76,219.0
69.30.251.27,219.0
162.241.248.14,218.0
103.77.192.88,217.0
174.128.251.99,217.0
204.194.29.4,217.0
35.0.127.52,217.0
146.190.152.219,214.0
159.65.154.26,214.0
159.65.34.242,214.0
195.206.234.19,214.0
teletype.in,213.0
208.115.228.234,209.0
89.149.200.91,209.0
91.239.130.102,209.0
104.128.161.233,206.0
1-you.njalla.no,204.0
2-can.njalla.in,204.0
check-host.net,204.0
165.232.138.158,203.0
194.33.45.162,203.0
194.36.191.196,203.0
3-get.njalla.fo,203.0
38.32.68.195,203.0
50.6.193.80,203.0
trycloudflare.com,201.0
103.30.76.206,200.0
111.90.151.120,200.0
185.162.128.133,200.0
209.127.117.234,200.0
45.77.119.13,200.0
52.202.193.124,200.0
77.91.74.235,200.0
101.206.168.19,199.0
103.172.81.132,199.0
104.160.6.2,199.0
104.28.211.105,199.0
104.28.243.105,199.0
115.79.137.99,199.0
123.253.35.15,199.0
136.144.17.118,199.0
136.144.17.133,199.0
136.144.17.145,199.0
136.144.17.89,199.0
139.59.136.192,199.0
14.161.38.58,199.0
141.98.252.143,199.0
143.110.226.180,199.0
146.19.254.61,199.0
146.70.192.174,199.0
149.102.229.181,199.0
149.88.27.212,199.0
15.204.56.106,199.0
154.64.226.166,199.0
157.230.9.58,199.0
159.65.157.64,199.0
162.247.72.199,199.0
163.5.171.49,199.0
175.152.149.111,199.0
176.114.0.120,199.0
177.136.225.180,199.0
179.1.195.163,199.0
185.108.105.110,199.0
185.220.69.83,199.0
185.39.207.83,199.0
185.65.134.75,199.0
