type,data,_id
String,"{""indicator"":88.234.226.125  }",88.234.226.125
String,"{""indicator"":114.231.97.235  }",114.231.97.235
String,"{""indicator"":45.227.253.121  }",45.227.253.121
String,"{""indicator"":172.245.246.91  }",172.245.246.91
String,"{""indicator"":156.238.224.82  }",156.238.224.82
String,"{""indicator"":45.150.108.61  }",45.150.108.61
String,"{""indicator"":47.119.134.47  }",47.119.134.47
String,"{""indicator"":31.56.209.120  }",31.56.209.120
String,"{""indicator"":203.83.10.114  }",203.83.10.114
String,"{""indicator"":45.194.44.46  }",45.194.44.46
String,"{""indicator"":103.181.41.6  }",103.181.41.6
String,"{""indicator"":209.99.185.223  }",209.99.185.223
String,"{""indicator"":45.88.186.163  }",45.88.186.163
